薬効分類コード,意味,服薬指導文章
3133,ビタミンB剤,口内炎や口角炎の症状なく経過良好｜手足のしびれなどの自覚症状に変化なく継続中｜疲労感の蓄積もなく良好に経過している｜諸症状の改善が見られ体調は安定している
3134,ビタミンB剤,口内炎や口角炎の症状なく経過良好｜手足のしびれなどの自覚症状に変化なく継続中｜疲労感の蓄積もなく良好に経過している｜諸症状の改善が見られ体調は安定している
3135,ビタミンB剤,口内炎や口角炎の症状なく経過良好｜手足のしびれなどの自覚症状に変化なく継続中｜疲労感の蓄積もなく良好に経過している｜諸症状の改善が見られ体調は安定している
3136,ビタミンB剤,口内炎や口角炎の症状なく経過良好｜手足のしびれなどの自覚症状に変化なく継続中｜疲労感の蓄積もなく良好に経過している｜諸症状の改善が見られ体調は安定している
3140,ビタミンC剤,日焼けや色素沈着の予防目的として服用を継続できている｜日々の体調の変化はなく副作用等の訴えも認められない｜肌の調子は安定しており継続して服用を希望されている｜皮膚トラブルなどの自覚症状なく経過良好である
3150,ビタミンE剤,手足の冷えやしびれなどの末梢循環障害の自覚症状に大きな変化なく経過良好｜服用による消化器症状等の副作用発現なく継続に問題なし｜用法用量を守り規則正しく服用されており自己管理良好｜血液循環改善の目的で服用を継続し体調に大きな変化なし
3160,ビタミンK剤,出血傾向や内出血などの異常は認められず安定して服用継続中｜定期的な血液凝固能検査の結果を含め特に問題なく経過良好｜他剤との飲み合わせに注意しつつ指示通り服用継続中｜自覚症状なく副作用の発現も認められないため継続の方針
3172,混合ビタミン剤,疲労感や倦怠感などの自覚症状なく体調は安定している｜現在の服用量にて継続し体調維持できている｜食事内容の偏りを補う目的として服用継続に問題なし｜特段の体調変化なく経過しており服用を継続する
3179,混合ビタミン剤,疲労感や倦怠感などの自覚症状なく体調は安定している｜現在の服用量にて継続し体調維持できている｜食事内容の偏りを補う目的として服用継続に問題なし｜特段の体調変化なく経過しており服用を継続する
3190,その他のビタミン剤,ビタミン剤の継続服用により体調は安定している｜自覚症状に大きな変化なく継続服用に問題なし｜服薬により体調良好であり現在も継続中｜特に体調不良の訴えなく服用は問題なく行われている
3211,カルシウム剤,便秘や胃部不快感などの消化器症状の訴えなく継続に問題なし｜服薬による特段の体調変化はなく継続して服用中｜現在までのところ自覚症状の変化はなく良好に経過している｜飲み忘れなく継続できており検査値を含めて経過を観察する
3213,カルシウム剤,便秘や胃部不快感などの消化器症状の訴えなく継続に問題なし｜服薬による特段の体調変化はなく継続して服用中｜現在までのところ自覚症状の変化はなく良好に経過している｜飲み忘れなく継続できており検査値を含めて経過を観察する
3214,カルシウム剤,便秘や胃部不快感などの消化器症状の訴えなく継続に問題なし｜服薬による特段の体調変化はなく継続して服用中｜現在までのところ自覚症状の変化はなく良好に経過している｜飲み忘れなく継続できており検査値を含めて経過を観察する
3215,カルシウム剤,便秘や胃部不快感などの消化器症状の訴えなく継続に問題なし｜服薬による特段の体調変化はなく継続して服用中｜現在までのところ自覚症状の変化はなく良好に経過している｜飲み忘れなく継続できており検査値を含めて経過を観察する
3219,カルシウム剤,便秘や胃部不快感などの消化器症状の訴えなく継続に問題なし｜服薬による特段の体調変化はなく継続して服用中｜現在までのところ自覚症状の変化はなく良好に経過している｜飲み忘れなく継続できており検査値を含めて経過を観察する
3221,無機質製剤,便秘等の自覚症状はなく残薬も発生していないため継続する｜消化器症状の出現なく服用は順調に経過している｜血液検査データに著変なく体調も良好に推移している｜服用による違和感等の訴えはなくアドヒアランス良好である
3222,無機質製剤,便秘等の自覚症状はなく残薬も発生していないため継続する｜消化器症状の出現なく服用は順調に経過している｜血液検査データに著変なく体調も良好に推移している｜服用による違和感等の訴えはなくアドヒアランス良好である
3229,無機質製剤,便秘等の自覚症状はなく残薬も発生していないため継続する｜消化器症状の出現なく服用は順調に経過している｜血液検査データに著変なく体調も良好に推移している｜服用による違和感等の訴えはなくアドヒアランス良好である
3231,糖類剤,低血糖症状の訴えなく経口摂取も良好に推移している｜指示通りの服用で血糖値の安定維持を確認している｜補食の準備を含め低血糖時の対応について理解できている｜食事の摂取量に大きな変動なく経過は良好である
3232,糖類剤,低血糖症状の訴えなく経口摂取も良好に推移している｜指示通りの服用で血糖値の安定維持を確認している｜補食の準備を含め低血糖時の対応について理解できている｜食事の摂取量に大きな変動なく経過は良好である
3233,糖類剤,低血糖症状の訴えなく経口摂取も良好に推移している｜指示通りの服用で血糖値の安定維持を確認している｜補食の準備を含め低血糖時の対応について理解できている｜食事の摂取量に大きな変動なく経過は良好である
3234,糖類剤,低血糖症状の訴えなく経口摂取も良好に推移している｜指示通りの服用で血糖値の安定維持を確認している｜補食の準備を含め低血糖時の対応について理解できている｜食事の摂取量に大きな変動なく経過は良好である
3239,糖類剤,低血糖症状の訴えなく経口摂取も良好に推移している｜指示通りの服用で血糖値の安定維持を確認している｜補食の準備を含め低血糖時の対応について理解できている｜食事の摂取量に大きな変動なく経過は良好である
3253,臓器製剤,肝機能等の血液検査値に異常なく継続に問題なし｜消化器症状などの自覚症状なく安定して経過している｜検査値および自覚症状ともに特段の異常は認められない｜臓器製剤の用法用量を守り規則正しく服用できている
3259,臓器製剤,肝機能等の血液検査値に異常なく継続に問題なし｜消化器症状などの自覚症状なく安定して経過している｜検査値および自覚症状ともに特段の異常は認められない｜臓器製剤の用法用量を守り規則正しく服用できている
3262,乳幼児用剤,発熱や咳などの症状は落ち着いており服薬による体調変化も見られない｜保護者による服薬管理が適切に行われており残薬や飲み忘れ等の問題はない｜皮膚の発疹や下痢等の副作用徴候はなく服薬状況は良好である｜症状の改善が見られるため処方通り継続にて経過観察とする
3272,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
3279,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
3291,その他の滋養強壮薬,全身倦怠感の改善傾向を確認し継続服用を推奨｜滋養強壮効果を実感されており継続に問題なし｜食欲や睡眠の状態に大きな変化なく経過良好｜服用による不快感等の訴えなく今後も継続を支援する
3299,その他の滋養強壮薬,全身倦怠感の改善傾向を確認し継続服用を推奨｜滋養強壮効果を実感されており継続に問題なし｜食欲や睡眠の状態に大きな変化なく経過良好｜服用による不快感等の訴えなく今後も継続を支援する
3311,血液代用剤,補液として循環動態を維持できており特に異常訴えなし｜自覚症状の悪化なく良好に経過している｜副作用の徴候なく処方通り継続できている｜体液バランスは安定しており特段の懸念点なし
3319,血液代用剤,補液として循環動態を維持できており特に異常訴えなし｜自覚症状の悪化なく良好に経過している｜副作用の徴候なく処方通り継続できている｜体液バランスは安定しており特段の懸念点なし
3321,止血剤,出血傾向などの異常なく経過は安定している｜皮下出血や歯肉出血などの自覚症状なく継続に問題なし｜用法用量通り服用できており副作用の発現も認められない｜止血効果の維持を目的に継続して服用できている
3322,止血剤,出血傾向などの異常なく経過は安定している｜皮下出血や歯肉出血などの自覚症状なく継続に問題なし｜用法用量通り服用できており副作用の発現も認められない｜止血効果の維持を目的に継続して服用できている
3323,止血剤,出血傾向などの異常なく経過は安定している｜皮下出血や歯肉出血などの自覚症状なく継続に問題なし｜用法用量通り服用できており副作用の発現も認められない｜止血効果の維持を目的に継続して服用できている
3326,止血剤,出血傾向などの異常なく経過は安定している｜皮下出血や歯肉出血などの自覚症状なく継続に問題なし｜用法用量通り服用できており副作用の発現も認められない｜止血効果の維持を目的に継続して服用できている
3327,止血剤,出血傾向などの異常なく経過は安定している｜皮下出血や歯肉出血などの自覚症状なく継続に問題なし｜用法用量通り服用できており副作用の発現も認められない｜止血効果の維持を目的に継続して服用できている
3329,止血剤,出血傾向などの異常なく経過は安定している｜皮下出血や歯肉出血などの自覚症状なく継続に問題なし｜用法用量通り服用できており副作用の発現も認められない｜止血効果の維持を目的に継続して服用できている
3331,血液凝固阻止剤,出血傾向などの自覚症状なく安定して経過している｜皮下出血や歯肉出血などの異常なく継続に問題なし｜あざができやすい等の出血症状なく安定して服用継続中｜服用後の体調変化はなく出血等のトラブルも認められない
3332,血液凝固阻止剤,出血傾向などの自覚症状なく安定して経過している｜皮下出血や歯肉出血などの異常なく継続に問題なし｜あざができやすい等の出血症状なく安定して服用継続中｜服用後の体調変化はなく出血等のトラブルも認められない
3334,血液凝固阻止剤,出血傾向などの自覚症状なく安定して経過している｜皮下出血や歯肉出血などの異常なく継続に問題なし｜あざができやすい等の出血症状なく安定して服用継続中｜服用後の体調変化はなく出血等のトラブルも認められない
3339,血液凝固阻止剤,出血傾向などの自覚症状なく安定して経過している｜皮下出血や歯肉出血などの異常なく継続に問題なし｜あざができやすい等の出血症状なく安定して服用継続中｜服用後の体調変化はなく出血等のトラブルも認められない
3399,その他の血液及び体液用薬,出血傾向や皮下出血などの異常所見は見られず安定して経過している｜体調の変化や新たな自覚症状の訴えはなく問題なく継続できている｜定期検査値の推移に大きな変動はなく治療計画通り順調に推移している｜服用による体調不良等の訴えはなく自己管理も良好に継続されている
3410,人工透析用薬,透析前後での体調不良や血圧変動の訴えなく安定して経過している｜透析効率に影響を及ぼすような過度な水分貯留や体重増加の徴候は見られない｜薬剤による消化器症状等の副作用出現なく継続服用できている｜透析による貧血や電解質異常に伴う特段の自覚症状は認められず経過良好である
3420,腹膜透析用薬,出口部の観察を行い異常のないことを確認した｜透析排液の性状に変化なく管理は良好である｜カテーテルの挿入部周囲に発赤や腫脹はなく経過良好である｜腹膜炎を示唆する腹痛や排液の混濁はなく安定している
3919,肝臓疾患用剤,全身の倦怠感や食欲不振などの自覚症状なく経過良好｜皮膚や眼球の黄染などの肝障害を疑う所見なく安定している｜定期的な血液検査数値を確認しつつ継続的な服用を指導｜体調の変化なく指示通り服用できていることを確認済み
3921,解毒剤,過量服用や中毒症状の徴候はなく経過は安定している｜体調の変化や気になる副作用の発現はなく服用を継続できている｜服薬後の身体症状に異常は見られず安定した状態を維持している｜自覚症状などの訴えはなく服薬遵守されており問題なく経過している
3922,解毒剤,過量服用や中毒症状の徴候はなく経過は安定している｜体調の変化や気になる副作用の発現はなく服用を継続できている｜服薬後の身体症状に異常は見られず安定した状態を維持している｜自覚症状などの訴えはなく服薬遵守されており問題なく経過している
3923,解毒剤,過量服用や中毒症状の徴候はなく経過は安定している｜体調の変化や気になる副作用の発現はなく服用を継続できている｜服薬後の身体症状に異常は見られず安定した状態を維持している｜自覚症状などの訴えはなく服薬遵守されており問題なく経過している
3925,解毒剤,過量服用や中毒症状の徴候はなく経過は安定している｜体調の変化や気になる副作用の発現はなく服用を継続できている｜服薬後の身体症状に異常は見られず安定した状態を維持している｜自覚症状などの訴えはなく服薬遵守されており問題なく経過している
3929,解毒剤,過量服用や中毒症状の徴候はなく経過は安定している｜体調の変化や気になる副作用の発現はなく服用を継続できている｜服薬後の身体症状に異常は見られず安定した状態を維持している｜自覚症状などの訴えはなく服薬遵守されており問題なく経過している
3932,習慣性中毒用剤,離脱症状や渇望感などの訴えなく順調に継続されている｜治療の意欲を維持されており服用状況も良好である｜心身の状態は安定しており本剤による特記すべき副作用の徴候も認められない｜服用を継続することで症状のコントロールが維持されていることを確認した
3939,習慣性中毒用剤,離脱症状や渇望感などの訴えなく順調に継続されている｜治療の意欲を維持されており服用状況も良好である｜心身の状態は安定しており本剤による特記すべき副作用の徴候も認められない｜服用を継続することで症状のコントロールが維持されていることを確認した
3941,痛風製剤,関節痛や腫れなどの発作症状なく経過良好｜尿酸値の管理は良好であり服薬継続により再発予防が図られている｜副作用の訴えはなく指示通りに服薬できている｜関節の違和感や発熱などの自覚症状なくコントロール良好である
3942,痛風製剤,関節痛や腫れなどの発作症状なく経過良好｜尿酸値の管理は良好であり服薬継続により再発予防が図られている｜副作用の訴えはなく指示通りに服薬できている｜関節の違和感や発熱などの自覚症状なくコントロール良好である
3943,痛風製剤,関節痛や腫れなどの発作症状なく経過良好｜尿酸値の管理は良好であり服薬継続により再発予防が図られている｜副作用の訴えはなく指示通りに服薬できている｜関節の違和感や発熱などの自覚症状なくコントロール良好である
3949,痛風製剤,関節痛や腫れなどの発作症状なく経過良好｜尿酸値の管理は良好であり服薬継続により再発予防が図られている｜副作用の訴えはなく指示通りに服薬できている｜関節の違和感や発熱などの自覚症状なくコントロール良好である
3954,酵素製剤,消化器症状の悪化や便通異常の訴えなく服用継続中｜食後の膨満感や消化不良などの症状は改善傾向にあり安定している｜飲み忘れなく継続できており消化器系の調子も安定している｜副作用や体調不良の訴えはなく問題なく継続できている
3959,酵素製剤,消化器症状の悪化や便通異常の訴えなく服用継続中｜食後の膨満感や消化不良などの症状は改善傾向にあり安定している｜飲み忘れなく継続できており消化器系の調子も安定している｜副作用や体調不良の訴えはなく問題なく継続できている
3961,糖尿病用剤,血糖値の大きな変動なく経過は良好である｜低血糖症状の自覚はなく指示通り服用継続できている｜生活習慣の改善に取り組みながら良好なコントロールを維持できている｜合併症の進行を示唆する自覚症状はなく安定した経過である
3962,糖尿病用剤,血糖値の大きな変動なく経過は良好である｜低血糖症状の自覚はなく指示通り服用継続できている｜生活習慣の改善に取り組みながら良好なコントロールを維持できている｜合併症の進行を示唆する自覚症状はなく安定した経過である
3969,糖尿病用剤,血糖値の大きな変動なく経過は良好である｜低血糖症状の自覚はなく指示通り服用継続できている｜生活習慣の改善に取り組みながら良好なコントロールを維持できている｜合併症の進行を示唆する自覚症状はなく安定した経過である
3991,他に分類されない代謝性医薬品,現在まで体調に大きな変化はなく経過は良好である｜自覚症状の訴えなく服用継続に支障はない｜特段の副作用の兆候は見られず安定している｜検査数値等の推移を含め引き続き経過観察を行う
3992,他に分類されない代謝性医薬品,現在まで体調に大きな変化はなく経過は良好である｜自覚症状の訴えなく服用継続に支障はない｜特段の副作用の兆候は見られず安定している｜検査数値等の推移を含め引き続き経過観察を行う
3999,他に分類されない代謝性医薬品,現在まで体調に大きな変化はなく経過は良好である｜自覚症状の訴えなく服用継続に支障はない｜特段の副作用の兆候は見られず安定している｜検査数値等の推移を含め引き続き経過観察を行う
4191,その他の腫瘍用薬,全身状態の大きな変化はなく体調は安定している｜腫瘍に伴う特有の症状の増悪は認められず経過良好｜継続的な内服により症状はコントロールされており副作用の訴えもない｜自覚的な体調変化はなく処方通りの継続で問題ない｜服用による消化器症状等の不調は現れておらず継続は妥当である
4211,アルキル化剤,骨髄抑制や感染症等の自覚症状はなく経過良好｜吐き気や倦怠感等の副作用の発現は見られず順調に服用中｜検査値の推移に異常なく治療は予定通り継続されている｜食欲不振や胃腸障害の訴えはなく体調は安定している
4212,アルキル化剤,骨髄抑制や感染症等の自覚症状はなく経過良好｜吐き気や倦怠感等の副作用の発現は見られず順調に服用中｜検査値の推移に異常なく治療は予定通り継続されている｜食欲不振や胃腸障害の訴えはなく体調は安定している
4213,アルキル化剤,骨髄抑制や感染症等の自覚症状はなく経過良好｜吐き気や倦怠感等の副作用の発現は見られず順調に服用中｜検査値の推移に異常なく治療は予定通り継続されている｜食欲不振や胃腸障害の訴えはなく体調は安定している
4219,アルキル化剤,骨髄抑制や感染症等の自覚症状はなく経過良好｜吐き気や倦怠感等の副作用の発現は見られず順調に服用中｜検査値の推移に異常なく治療は予定通り継続されている｜食欲不振や胃腸障害の訴えはなく体調は安定している
4221,代謝拮抗剤,自覚症状なく体調は安定しており継続に問題なし｜治療に伴う倦怠感や口内炎などの副作用症状は認められず経過良好｜定期的な血液検査の結果を含め治療計画通りに服薬継続できている｜重篤な副作用の兆候は見られず体調管理は適切に行われている
4222,代謝拮抗剤,自覚症状なく体調は安定しており継続に問題なし｜治療に伴う倦怠感や口内炎などの副作用症状は認められず経過良好｜定期的な血液検査の結果を含め治療計画通りに服薬継続できている｜重篤な副作用の兆候は見られず体調管理は適切に行われている
4223,代謝拮抗剤,自覚症状なく体調は安定しており継続に問題なし｜治療に伴う倦怠感や口内炎などの副作用症状は認められず経過良好｜定期的な血液検査の結果を含め治療計画通りに服薬継続できている｜重篤な副作用の兆候は見られず体調管理は適切に行われている
4224,代謝拮抗剤,自覚症状なく体調は安定しており継続に問題なし｜治療に伴う倦怠感や口内炎などの副作用症状は認められず経過良好｜定期的な血液検査の結果を含め治療計画通りに服薬継続できている｜重篤な副作用の兆候は見られず体調管理は適切に行われている
4229,代謝拮抗剤,自覚症状なく体調は安定しており継続に問題なし｜治療に伴う倦怠感や口内炎などの副作用症状は認められず経過良好｜定期的な血液検査の結果を含め治療計画通りに服薬継続できている｜重篤な副作用の兆候は見られず体調管理は適切に行われている
4231,抗腫瘍性抗生物質製剤,骨髄抑制等の副作用発現なく自覚症状も安定している｜発熱や感染症を疑う徴候なく経過良好である｜粘膜障害や皮膚症状の出現なく継続に問題なし｜治療計画に沿って服薬できており全身状態も安定している
4233,抗腫瘍性抗生物質製剤,骨髄抑制等の副作用発現なく自覚症状も安定している｜発熱や感染症を疑う徴候なく経過良好である｜粘膜障害や皮膚症状の出現なく継続に問題なし｜治療計画に沿って服薬できており全身状態も安定している
4234,抗腫瘍性抗生物質製剤,骨髄抑制等の副作用発現なく自覚症状も安定している｜発熱や感染症を疑う徴候なく経過良好である｜粘膜障害や皮膚症状の出現なく継続に問題なし｜治療計画に沿って服薬できており全身状態も安定している
4235,抗腫瘍性抗生物質製剤,骨髄抑制等の副作用発現なく自覚症状も安定している｜発熱や感染症を疑う徴候なく経過良好である｜粘膜障害や皮膚症状の出現なく継続に問題なし｜治療計画に沿って服薬できており全身状態も安定している
4239,抗腫瘍性抗生物質製剤,骨髄抑制等の副作用発現なく自覚症状も安定している｜発熱や感染症を疑う徴候なく経過良好である｜粘膜障害や皮膚症状の出現なく継続に問題なし｜治療計画に沿って服薬できており全身状態も安定している
4240,抗腫瘍性植物成分製剤,倦怠感や食欲不振などの体調変化なく安定して経過している｜好中球減少等を示唆する発熱や感染症徴候は認められない｜消化器症状の発現なく食事摂取も良好に推移している｜治療による脱毛や皮膚障害の訴えなく継続に問題なし
4291,その他の腫瘍用薬,全身状態の大きな変化はなく体調は安定している｜腫瘍に伴う特有の症状の増悪は認められず経過良好｜継続的な内服により症状はコントロールされており副作用の訴えもない｜自覚的な体調変化はなく処方通りの継続で問題ない｜服用による消化器症状等の不調は現れておらず継続は妥当である
4299,その他の腫瘍用薬,全身状態の大きな変化はなく体調は安定している｜腫瘍に伴う特有の症状の増悪は認められず経過良好｜継続的な内服により症状はコントロールされており副作用の訴えもない｜自覚的な体調変化はなく処方通りの継続で問題ない｜服用による消化器症状等の不調は現れておらず継続は妥当である
4300,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
4411,抗ヒスタミン剤,眠気や口渇などの副作用症状の発現はなく経過良好です｜日中の眠気等の自覚症状はなく日常生活に支障なく継続できています｜薬剤によるふらつきや倦怠感の訴えなく安定して服用できています｜眠気等の副作用発現を認めず予定通り継続いただいています
4413,抗ヒスタミン剤,眠気や口渇などの副作用症状の発現はなく経過良好です｜日中の眠気等の自覚症状はなく日常生活に支障なく継続できています｜薬剤によるふらつきや倦怠感の訴えなく安定して服用できています｜眠気等の副作用発現を認めず予定通り継続いただいています
4419,抗ヒスタミン剤,眠気や口渇などの副作用症状の発現はなく経過良好です｜日中の眠気等の自覚症状はなく日常生活に支障なく継続できています｜薬剤によるふらつきや倦怠感の訴えなく安定して服用できています｜眠気等の副作用発現を認めず予定通り継続いただいています
4420,刺激療法剤,皮膚の刺激感や発赤などの皮膚症状はみられず経過良好です｜薬液塗布部位の痒みや痛みなどの訴えはなく問題なく継続できています｜使用開始後の皮膚トラブル等なく良好に使用継続中です｜貼付部位の荒れや赤みなどの症状は出現しておらず継続に支障はありません
4490,その他のアレルギー用薬,アレルギー症状の再燃なく経過しており症状は安定している｜季節性の鼻炎症状等の変化なく治療効果は得られている｜眠気や口渇等の副作用の発現はなく服薬継続に問題はない｜現在の服用方法で過不足なく使用できており良好に管理されている
4900,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
5100,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
5200,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
5900,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
6111,主としてグラム陽性菌に作用するもの,下痢や腹痛などの消化器症状の発現はなく順調に服用できている｜発疹や痒み等の過敏症症状の出現はなく経過良好である｜指示通りの服用間隔を守り飲み忘れなく継続できている｜全量服用できており症状の改善傾向が認められる
6112,主としてグラム陽性菌に作用するもの,下痢や腹痛などの消化器症状の発現はなく順調に服用できている｜発疹や痒み等の過敏症症状の出現はなく経過良好である｜指示通りの服用間隔を守り飲み忘れなく継続できている｜全量服用できており症状の改善傾向が認められる
6113,主としてグラム陽性菌に作用するもの,下痢や腹痛などの消化器症状の発現はなく順調に服用できている｜発疹や痒み等の過敏症症状の出現はなく経過良好である｜指示通りの服用間隔を守り飲み忘れなく継続できている｜全量服用できており症状の改善傾向が認められる
6119,主としてグラム陽性菌に作用するもの,下痢や腹痛などの消化器症状の発現はなく順調に服用できている｜発疹や痒み等の過敏症症状の出現はなく経過良好である｜指示通りの服用間隔を守り飲み忘れなく継続できている｜全量服用できており症状の改善傾向が認められる
6122,主としてグラム陰性菌に作用するもの,感染症状の改善傾向を確認し、自己判断での中断がないよう残薬調整を含め服薬継続の重要性を指導済み｜下痢や腹痛などの消化器症状の出現がないことを確認し継続投与に問題なし｜用法用量通り規則正しく服用できており、感染症の諸症状も順調に軽快していることを確認｜自覚症状の改善を認め、副作用の徴候もみられないため指示通り全量服用を継続するよう指導済み
6123,主としてグラム陰性菌に作用するもの,感染症状の改善傾向を確認し、自己判断での中断がないよう残薬調整を含め服薬継続の重要性を指導済み｜下痢や腹痛などの消化器症状の出現がないことを確認し継続投与に問題なし｜用法用量通り規則正しく服用できており、感染症の諸症状も順調に軽快していることを確認｜自覚症状の改善を認め、副作用の徴候もみられないため指示通り全量服用を継続するよう指導済み
6124,主としてグラム陰性菌に作用するもの,感染症状の改善傾向を確認し、自己判断での中断がないよう残薬調整を含め服薬継続の重要性を指導済み｜下痢や腹痛などの消化器症状の出現がないことを確認し継続投与に問題なし｜用法用量通り規則正しく服用できており、感染症の諸症状も順調に軽快していることを確認｜自覚症状の改善を認め、副作用の徴候もみられないため指示通り全量服用を継続するよう指導済み
6125,主としてグラム陰性菌に作用するもの,感染症状の改善傾向を確認し、自己判断での中断がないよう残薬調整を含め服薬継続の重要性を指導済み｜下痢や腹痛などの消化器症状の出現がないことを確認し継続投与に問題なし｜用法用量通り規則正しく服用できており、感染症の諸症状も順調に軽快していることを確認｜自覚症状の改善を認め、副作用の徴候もみられないため指示通り全量服用を継続するよう指導済み
6126,主としてグラム陰性菌に作用するもの,感染症状の改善傾向を確認し、自己判断での中断がないよう残薬調整を含め服薬継続の重要性を指導済み｜下痢や腹痛などの消化器症状の出現がないことを確認し継続投与に問題なし｜用法用量通り規則正しく服用できており、感染症の諸症状も順調に軽快していることを確認｜自覚症状の改善を認め、副作用の徴候もみられないため指示通り全量服用を継続するよう指導済み
6129,主としてグラム陰性菌に作用するもの,感染症状の改善傾向を確認し、自己判断での中断がないよう残薬調整を含め服薬継続の重要性を指導済み｜下痢や腹痛などの消化器症状の出現がないことを確認し継続投与に問題なし｜用法用量通り規則正しく服用できており、感染症の諸症状も順調に軽快していることを確認｜自覚症状の改善を認め、副作用の徴候もみられないため指示通り全量服用を継続するよう指導済み
6131,主としてグラム陽性・陰性菌に作用するもの,下痢や腹痛などの消化器症状の出現なく経過している｜皮疹や発疹などの過敏症状なく服用継続できている｜処方通り規則的に服用できており症状の改善傾向を認める｜飲み忘れなく服用継続できており現在の用法用量で問題ない
6132,主としてグラム陽性・陰性菌に作用するもの,下痢や腹痛などの消化器症状の出現なく経過している｜皮疹や発疹などの過敏症状なく服用継続できている｜処方通り規則的に服用できており症状の改善傾向を認める｜飲み忘れなく服用継続できており現在の用法用量で問題ない
6133,主としてグラム陽性・陰性菌に作用するもの,下痢や腹痛などの消化器症状の出現なく経過している｜皮疹や発疹などの過敏症状なく服用継続できている｜処方通り規則的に服用できており症状の改善傾向を認める｜飲み忘れなく服用継続できており現在の用法用量で問題ない
6134,主としてグラム陽性・陰性菌に作用するもの,下痢や腹痛などの消化器症状の出現なく経過している｜皮疹や発疹などの過敏症状なく服用継続できている｜処方通り規則的に服用できており症状の改善傾向を認める｜飲み忘れなく服用継続できており現在の用法用量で問題ない
6135,主としてグラム陽性・陰性菌に作用するもの,下痢や腹痛などの消化器症状の出現なく経過している｜皮疹や発疹などの過敏症状なく服用継続できている｜処方通り規則的に服用できており症状の改善傾向を認める｜飲み忘れなく服用継続できており現在の用法用量で問題ない
6139,主としてグラム陽性・陰性菌に作用するもの,下痢や腹痛などの消化器症状の出現なく経過している｜皮疹や発疹などの過敏症状なく服用継続できている｜処方通り規則的に服用できており症状の改善傾向を認める｜飲み忘れなく服用継続できており現在の用法用量で問題ない
6141,主としてグラム陽性菌、マイコプラズマに作用するもの,下痢や腹痛などの消化器症状の出現なく経過している｜皮疹や発疹などの過敏症反応なく服用継続できている｜症状の改善を自覚されており指示通り服用を継続している｜体調不良の訴えなく、処方通り順調に服用できている
6142,主としてグラム陽性菌、マイコプラズマに作用するもの,下痢や腹痛などの消化器症状の出現なく経過している｜皮疹や発疹などの過敏症反応なく服用継続できている｜症状の改善を自覚されており指示通り服用を継続している｜体調不良の訴えなく、処方通り順調に服用できている
6149,主としてグラム陽性菌、マイコプラズマに作用するもの,下痢や腹痛などの消化器症状の出現なく経過している｜皮疹や発疹などの過敏症反応なく服用継続できている｜症状の改善を自覚されており指示通り服用を継続している｜体調不良の訴えなく、処方通り順調に服用できている
6151,主としてグラム陽性・陰性菌、リケッチア、クラミジアに作用するもの,飲み忘れなく内服できており消化器症状等の副作用も認められない｜自己判断での中断なく継続できており全身状態に特記すべき変化なし｜処方通りに服用できており下痢や発疹等の自覚症状の出現もない｜指示通り服用し症状の軽快がみられ副作用と思われる訴えもなし
6152,主としてグラム陽性・陰性菌、リケッチア、クラミジアに作用するもの,飲み忘れなく内服できており消化器症状等の副作用も認められない｜自己判断での中断なく継続できており全身状態に特記すべき変化なし｜処方通りに服用できており下痢や発疹等の自覚症状の出現もない｜指示通り服用し症状の軽快がみられ副作用と思われる訴えもなし
6161,主として抗酸菌に作用するもの,服薬アドヒアランス良好であり飲み忘れなく継続できている｜自覚症状の変化なく副作用の発現も認められない｜処方通り継続服用されており治療効果の指標に特段の懸念はない｜定期的な血液検査等の経過を含め体調に変化なく安定している
6162,主として抗酸菌に作用するもの,服薬アドヒアランス良好であり飲み忘れなく継続できている｜自覚症状の変化なく副作用の発現も認められない｜処方通り継続服用されており治療効果の指標に特段の懸念はない｜定期的な血液検査等の経過を含め体調に変化なく安定している
