成分コード,意味,服薬指導文章
2699716,パイナップル茎搾汁精製物,服用後の胃腸症状等の副作用発現状況を注視する｜継続服用により自覚症状の改善傾向を認める｜現状の用法用量で問題なく経過していると判断する
2699717,タピナロフ,刺激感や紅斑の出現状況を確認し継続使用を確認｜効果発現まで時間を要する旨を説明し継続を促す｜適用部位の皮膚症状の変化を観察する
2699801,精製白糖・ポビドンヨード,塗布後の乾燥状態を確認し必要に応じ保湿を提案｜患部の洗浄状況と過剰塗布がないかを確認｜刺激や発赤の有無を観察し使用継続を評価
2699802,カルシポトリオール水和物・ベタメタゾンジプロピオン酸エステル,長期使用による皮膚萎縮等の副作用を確認｜塗布範囲が指示通りかを確認し過剰使用を抑制｜紅斑や鱗屑の改善状況を評価し継続を判断
2699803,クリンダマイシンリン酸エステル水和物・過酸化ベンゾイル,皮膚の乾燥や剥離の程度を確認し保湿剤の併用を指導｜漂白作用への注意を促し衣服への付着を確認｜刺激感の許容範囲を確認し塗布頻度を調整
2699804,マキサカルシトール・ベタメタゾン酪酸エステルプロピオン酸エステル,ステロイド外用による皮膚菲薄化の徴候を観察｜塗布範囲の適切さを確認し副作用発現の有無を評価｜症状の改善推移を確認し使用期間の目安を説明
2699805,アダパレン・過酸化ベンゾイル,初回のため使用開始後の赤みやヒリつきについて説明し、症状の経過を観察する。｜刺激感が出た場合の塗布量調整や休薬について指導し、症状の推移を確認する。｜保湿剤の併用状況を確認し、皮膚刺激の有無について継続的にフォローする。
2710803,リドカイン塩酸塩・アドレナリン酒石酸水素塩,麻酔後の痺れが残る間の食事や飲水に注意するよう指導し、異常の有無を確認する。｜使用後の違和感やアレルギー反応の兆候がないか経過を観察する。｜歯科処置後の注意事項を再確認し、組織の回復状況を注視する。
2710806,リドカイン塩酸塩・アドレナリン,注射部位の疼痛や腫脹などの異常なく経過は良好です｜過敏症等の症状出現なく使用できていることを確認しました｜動悸や振戦などの交感神経刺激症状なく順調に使用継続中です｜局所麻酔効果に問題なく適切な疼痛管理が行われています
2710810,メピバカイン塩酸塩,しびれやふらつき等の副作用症状の訴えはなく経過良好｜動悸や悪心等の自覚症状を認めず使用に問題なし｜特段の副作用発現なく安定して使用できている｜眠気やめまい等の違和感はなく継続使用に支障なし
2710813,プロピトカイン塩酸塩・フェリプレシン,局所麻酔後のしびれによる咬傷に注意するよう伝え、経過を観察する。｜使用後の腫れや痛みの有無を確認し、異常がないか継続フォローを行う。｜患者の体調変化や気分不快の兆候がないか確認を継続する。
2710816,アミノ安息香酸エチル,局所麻酔薬として使用、使用後に痺れや異常な違和感が生じていないことを確認済み｜口腔内や患部への使用時、発疹や発赤などの過敏症状は見られず問題なく使用できている｜使用部位への刺激感や腫れなどの症状は出現しておらず、指示通りに使用できている｜本剤使用によるアナフィラキシー様症状などの副作用の発現はなく、安全に使用できている
2710818,アミノ安息香酸エチル・パラブチルアミノ安息香酸ジエチルアミノエチル塩酸塩,使用部位の感覚変化を確認し、過敏症の徴候がないか注視する。｜粘膜等の使用感を確認し、症状の推移を評価する。｜指示通りの回数で使用できているか確認し、副作用の有無を観察する。
2710819,アミノ安息香酸エチル・ジブカイン塩酸塩配合剤,局所麻酔効果の発現と持続状況を確認し、異常の有無を判断する。｜使用後の違和感や発疹の有無を確認し、経過観察を行う。｜口腔内や粘膜の状態を確認し、適切な使用がなされているか評価する。
2710821,アルチカイン塩酸塩・アドレナリン酒石酸水素塩,歯科用局所麻酔薬として使用。麻酔による痺れが消失するまで食事や飲水は控えるよう指導。｜動悸や震えなどの副作用の有無を確認。循環器系への影響は見られない。｜過敏症の既往なし。施術後の異常等の訴えはなく経過良好。
2760803,エピジヒドロコレステリン・テトラサイクリン塩酸塩,外用薬として患部に塗布。使用部位の刺激感や発赤等の皮膚症状は見られない。｜テトラサイクリン系による光線過敏症の兆候は認められない。｜継続使用による耐性菌の発現に注意しつつ経過観察。
2760804,ミノサイクリン塩酸塩,服用後の胃部不快感や吐き気等の消化器症状は出現していない。｜服薬方法を守り、規則正しく継続できている。症状は改善傾向にある。｜副作用として眩暈の訴えなし。引き続き服薬を継続し経過を注視する。
2760806,オキシテトラサイクリン塩酸塩,感染部位への投与により症状の軽減を確認。副作用の発現は認められない。｜服薬による消化器症状は許容範囲内であり、順調に推移している。｜光線過敏症や色素沈着への注意を継続しつつ、治療を継続する。
2760808,フラジオマイシン硫酸塩,外用剤として適切に使用され、適用部位の皮膚状態は安定している。｜接触皮膚炎等の過敏症状は見られず、治療経過は順調である。｜長期連用による菌交代現象の兆候はなく、今後も慎重に経過観察する。
2790810,ヒドロコルチゾン酢酸エステル・ヒノキチオール配合剤,患部に適量を塗布するよう指導済み｜皮膚の状態に応じて使用頻度を調整するよう伝達｜かぶれや刺激感の有無を継続観察
2790818,酸化亜鉛・チョウジ油,患部を清潔にした後に塗布するよう説明｜粘膜への付着を避けるよう注意喚起｜周囲の皮膚への影響を含め経過を確認
2790820,ベンゼトニウム塩化物,殺菌目的での使用法を説明｜刺激を感じた場合は直ちに使用を中止するよう指導｜患部の炎症症状の推移を注視
2790821,塩化アルミニウム・セチルピリジニウム配合剤,塗布部位を清潔に保つよう指導｜過度な塗布による皮膚トラブルの有無を確認｜症状改善が見られない場合は受診を促す
2790823,トラフェルミン（遺伝子組換え）,患部を清潔にしてから塗布するよう指導｜赤みや痒み等の過敏症状の有無を確認｜創傷部の治癒経過を観察｜効果不十分な場合は受診を勧奨
2900001,セファランチン,用法用量を遵守し継続服用するよう説明｜飲み忘れ防止のため服薬タイミングを工夫するよう指導｜服用後の体調変化や副作用の有無を確認
2900002,ガンマオリザノール,自律神経調整効果を確認｜胃腸症状の改善状況を注視｜長期投与における体調変化をモニタリング
2900003,プロプラノロール塩酸塩,心拍数を確認し安定｜副作用の訴えなし｜服薬の飲み忘れなく継続中
2900400,セファランチン,脱毛症状の経過を観察｜血球数等検査値の推移を確認｜自覚症状の変化を継続評価
3111002,ビタミンＡ,皮膚乾燥状態の改善を確認｜ビタミン過剰症の兆候を注意深く観察｜臨床症状の推移を評価
3111003,レチノールパルミチン酸エステル,視覚症状や粘膜状態を確認｜副作用の有無を継続モニタリング｜投与による有用性を評価
3111400,レチノールパルミチン酸エステル,皮膚の健康状態を確認｜服用による全身的な変化を追跡｜長期使用時の副作用発現に警戒
3112001,アルファカルシドール,高カルシウム血症の兆候を認めないことを確認した｜食欲不振や嘔気等の副作用出現の有無を確認した｜定期的な血液検査の継続によるモニタリングを推奨する
3112004,カルシトリオール,連用による高カルシウム血症の発現に注意を要する｜服用後の体調変化に異常がないことを確認した｜カルシウム摂取過多を避けるよう指導した
3112005,ファレカルシトリオール,血液検査データにて高カルシウム血症の回避を確認した｜自覚症状としての倦怠感や口渇の有無を聴取した｜継続的な服薬アドヒアランスは良好と判断する
3112006,エルデカルシトール,骨折リスク低減に向けた継続服用が重要である｜高カルシウム血症等の副作用発現の兆候は認められなかった｜定期検査値の推移に留意しながら経過観察を継続する
3112401,マキサカルシトール,皮膚症状等の副作用が発現していないことを確認した｜塗布状況および服薬継続による病状の安定を認めた｜副作用の発現に注意しつつ経過観察を行う
3112402,カルシトリオール,高カルシウム血症の兆候を確認｜定期的な血清カルシウム値のモニタリングが必要｜自覚症状の有無を継続的に観察
3113001,肝油,過剰摂取による脂溶性ビタミン蓄積を考慮｜併用薬との栄養成分重複を確認｜長期服用における副作用の有無を継続観察
3119001,エトレチナート,催奇形性のリスクを再確認｜避妊の継続と定期的な肝機能検査の必要性を指導｜皮膚の乾燥等の副作用を継続観察
3121001,チアミン塩化物塩酸塩,用法用量通りの服用を確認｜過敏症等の発現がないか経過観察｜主訴の改善状況から服薬継続の妥当性を評価
3121400,チアミン塩化物塩酸塩,ビタミンB1不足症状の改善傾向を確認｜消化器症状等の副作用がないか継続観察｜治療計画に基づいた服用継続の必要性を判断
3122001,セトチアミン塩酸塩水和物,継続的な服用により神経症状の改善傾向を確認｜用法用量を遵守し症状の推移を注視｜副作用の発現なく経過良好
3122004,チアミンジスルフィド,自覚症状の緩和を確認し継続処方とする｜服薬状況良好であり効果発現を期待する｜消化器症状等の副作用なく経過は安定している
3122006,ビスベンチアミン,改善の兆候が見られ適宜状態を確認する｜服薬継続により症状が安定的に推移している｜服用方法の理解を確認し継続指導を行う
3122007,フルスルチアミン,症状の改善に合わせ経過を観察する｜服薬状況は良好であり症状の推移を注視する｜体調の変化に注意を促し処方継続とする
3122401,フルスルチアミン塩酸塩,服薬継続により症状が安定している｜副作用の発現なく服薬継続可能と判断｜症状の変化に留意し次回まで継続観察を行う
3122402,チアミンジスルフィド,神経痛・筋肉痛の改善傾向を確認｜食後の服用による胃部不快感の有無を観察｜継続的な服用による症状の推移を注視
3122404,プロスルチアミン,服用後の倦怠感の軽減を確認｜胃腸症状の副作用発現がないか経過観察｜疲労回復効果を本人へ確認し継続服用を評価
3131002,リボフラビン酪酸エステル,口内炎・口角炎の治癒状況を視認｜ビタミン不足に伴う皮膚症状の改善を評価｜用法を守り定期的に服用できていることを確認
3131401,リボフラビンリン酸エステルナトリウム,薬剤投与による眼精疲労の改善を確認｜皮膚粘膜症状の改善状況を観察｜長期使用に伴う耐用性を評価
3132002,ニコチン酸アミド,皮膚の血流改善効果を確認｜消化器症状の副作用発現がないか経過観察｜脂質代謝異常への治療効果を注視
3132400,ニコチン酸,脂質代謝改善のため継続服用の必要性を確認｜副作用症状の有無を聴取し異常なし｜検査値推移を注視し治療継続
3133001,パンテチン,血清脂質低下作用を確認し服薬継続中｜消化器症状等の副作用は見られず経過良好｜生活習慣改善の指導を行い服薬継続
3133002,パントテン酸カルシウム,代謝改善目的にて服薬状況を確認し問題なし｜自覚症状の訴えはなく副作用発現も認められず｜定期的な血液検査結果の確認を継続
3133400,パンテチン,脂質値安定のため服薬継続を指導｜現時点で副作用や飲み忘れは認められず｜食事療法との併用継続にて経過観察
3133401,パンテノール,ビタミン補給としての服薬状況は良好｜副作用症状の発生はなく安全に使用中｜継続服用による治療効果を確認する
3134001,ピリドキシン塩酸塩,ビタミンB6製剤として継続投与し、手足のしびれ等の改善状況を観察する。｜服用による胃部不快感や食欲低下がないか経過を追う。｜食事バランスを考慮しつつ、症状の推移を確認する。
3134002,ピリドキシン塩酸塩,継続服用による神経症状への効果を確認する。｜副作用の発現なく安定して服用できている。｜定期的な受診を通じて治療効果を評価する。
3134003,ピリドキサールリン酸エステル水和物,活性型ビタミンB6として代謝改善効果を確認する。｜服薬コンプライアンス良好、症状の経過を継続観察とする。｜漫然とした投与にならないよう、症状に応じた減量や中止の可能性を検討する。
3134400,ピリドキシン塩酸塩,処方目的である神経症状の改善をモニタリングする。｜副作用の訴えはなく、順調に服用中である。｜次回の診察まで服薬継続とし、体調変化を観察する。
3134402,ピリドキサールリン酸エステル水和物,活性型製剤の服用状況を確認し、自覚症状の改善を評価する。｜過剰投与による副作用リスクを念頭に経過観察を行う。｜治療目標に基づき、症状改善が見られるか注視する。
3135001,葉酸,葉酸の補給により貧血症状の改善を確認｜継続的な服用による造血機能の維持を評価｜食事内容と併せてバランスの良い栄養摂取を指導
3135002,葉酸,定期的な血液検査による数値の推移を確認｜服薬コンプライアンスは良好であり継続を推奨｜自覚症状の変化を確認し服薬の必要性を継続的に検討
3135400,葉酸,葉酸欠乏状態の改善に向けて継続服用を促す｜副作用の発現はなく処方通り服用できていることを確認｜症状改善に伴う減量や休薬の判断は医師の指示を仰ぐ
3136001,コバマミド,ビタミンB12不足に伴う神経症状等の改善を観察｜服薬による消化器症状等の副作用発現がないことを確認｜継続的な服用により血中濃度の安定化を図る
3136004,メコバラミン,手足のしびれや痛みなどの自覚症状に大きな変化なく経過良好｜副作用の訴えはなく問題なく継続できている｜手足の違和感やしびれの程度に変わりなく継続服用中｜服用による消化器症状などの不調の訴えなく安定して経過している
3136401,ヒドロキソコバラミン酢酸塩,注射薬からの切り替え等の経過を注視し改善度を確認｜特段の副作用なく安定して服用できていることを確認｜血液所見の変化を踏まえて今後の投与計画をフォローする
3136402,シアノコバラミン,手足のしびれや痛み等の自覚症状に変化なく経過良好｜副作用と思われる症状の訴えはなく継続して服薬中｜倦怠感やふらつき等の訴えはなく順調に服用できている｜手足の違和感など新たな自覚症状の発現は見られず安定している
3136403,メコバラミン,手足のしびれや痛みなどの自覚症状に大きな変化なく経過良好｜副作用の訴えはなく問題なく継続できている｜手足の違和感やしびれの程度に変わりなく継続服用中｜服用による消化器症状などの不調の訴えなく安定して経過している
3140001,アスコルビン酸,ビタミンC補給の目的を確認し、継続服用による体調変化を観察する｜食事バランスへの配慮を促し、過剰摂取のリスクがないことを確認した｜服用のタイミングを指導し、胃腸症状の有無について次回継続確認する
3140002,アスコルビン酸,継続服用による効果を評価し、副作用の発現がないことを確認した｜用法用量の遵守を再確認し、生活習慣への定着を支援した｜自覚症状の改善状況から、次回の服用継続の必要性を判断する
3140400,アスコルビン酸,定期的な服用状況を確認し、飲み忘れ防止の対策を指導した｜サプリメント併用の有無を確認し、重複投与の回避を指示した｜現在の使用目的が維持されていることを確認し、経過観察とした
3140401,アスコルビン酸,服用後の体調変化について聴取し、異常がないことを確認した｜薬剤の効果を実感できているか評価し、継続治療の意向を確認した｜生活の質向上に向けた服薬の意義を説明し、服薬遵守を促した
3140500,アスコルビン酸・Ｌ－システイン,成分の特性を説明し、日焼け対策等の併用療法への理解度を評価した｜L-システイン配合による副作用の有無を確認し、消化器症状に注意を促した｜継続使用による皮膚状態の経過観察を行い、使用中止の基準を共有した
3150002,トコフェロール酢酸エステル,末梢血行障害の改善目的で継続服用中。自覚症状の軽快を確認。｜冷えやしびれの改善傾向が見られ、継続的な服用で経過観察。｜自覚症状に変化なし。生活習慣の改善と併せて継続服用の必要性を評価。
3160001,フィトナジオン,ビタミンK欠乏による出血傾向に対し服用中。異常出血の有無を確認。｜血液凝固検査値の推移に合わせ、継続的な服用の意義を評価。｜副作用症状の訴えなし。引き続き出血症状の有無を注意深く経過観察。
3160002,メナテトレノン,骨粗鬆症治療に伴うビタミンK2の補給目的で服用。骨密度の推移を確認。｜副作用の発現なく、良好に継続中。骨代謝改善効果を注視。｜定期的な検査データを確認。服薬による臨床的有用性が継続していると判断。
3160401,メナテトレノン,骨代謝改善目的で処方。消化器症状等の副作用発現なし。｜服薬アドヒアランスは良好。骨密度検査の結果を待ち経過観察。｜長期投与による有効性と安全性を継続して評価。
3172400,チアミン・アスコルビン酸配合剤,ビタミンB1およびCの補給による疲労感の改善を確認。｜皮膚症状や倦怠感に変化が見られず、食事摂取状況と合わせて経過観察。｜服薬による自覚症状の改善が見られ、維持目的で継続指導を実施。
3179100,リボフラビン・ピリドキシン塩酸塩,口角炎や皮膚炎の改善状況を確認し継続を判断｜ビタミンB群補充による粘膜症状の経過を観察｜食事内容を確認し栄養状態の安定を評価
3179101,チアミンジスルフィド・Ｂ６・Ｂ１２配合剤,神経痛の緩和状況をヒアリングし継続を判断｜痺れ等の末梢神経症状の変化を継続観察｜自覚症状の改善傾向を認め服薬継続を指示
3179102,チアミンジスルフィド・Ｂ６・Ｂ１２配合剤,神経痛の改善度合いを確認し次回の処方調整を検討｜継続服用による神経障害症状の軽快を期待｜経過良好につき同様の用法用量にて継続
3179106,オクトチアミン・Ｂ２・Ｂ６・Ｂ１２配合剤,眼精疲労や肩こりの症状改善を確認し継続を判断｜慢性的な疲労感に対する効果を継続評価｜服用状況良好につき症状変化をモニタリング
3179107,フルスルチアミン・Ｂ２・Ｂ６・Ｂ１２配合剤,肉体疲労の軽減状況をヒアリングし効果を判定｜末梢神経障害に伴う痺れの改善傾向を継続観察｜栄養状態と症状の関連性を評価し服薬継続を方針とする
3179108,ベンフォチアミン・Ｂ６・Ｂ１２配合剤,神経症状の改善を確認｜継続服用によるしびれの軽減を評価｜自覚症状の変化を継続観察
3179109,ベンフォチアミン・Ｂ６・Ｂ１２配合剤,ビタミン補充による疲労感の緩和を確認｜用法用量遵守を確認｜末梢神経への効果を注視
3179110,ベンフォチアミン・Ｂ６・Ｂ１２配合剤,代謝改善効果を確認｜服薬後の体調変化をモニタリング｜長期的な改善傾向を観察
3179115,アスコルビン酸・パントテン酸カルシウム,肌荒れや粘膜症状の改善を確認｜不足しがちな栄養素の補給状況を把握｜継続的な内服による皮膚状態の経過を観察
3179121,レチノール・カルシフェロール配合剤,脂溶性ビタミンの補充による骨代謝への効果を確認｜過剰摂取の兆候がないことを確認｜血液検査データと併せて経過を観察
3179503,チアミン塩化物塩酸塩・Ｂ６・Ｂ１２配合剤,神経痛や肩こりの改善を目的に継続服用中｜副作用の自覚症状はなく服薬アドヒアランス良好｜症状の安定を確認し次回も継続の方針
3179504,チアミンジスルフィド・Ｂ６・Ｂ１２配合剤,腰痛等の改善に向けた服用状況に問題なし｜体調の変化や気になる副作用の訴えはなし｜症状の改善傾向が見られ今後も継続による経過観察が必要
3179506,チアミンモノホスフェイトジスルフィド・Ｂ６・Ｂ１２配合剤,末梢神経障害によるしびれに対し服薬継続中｜飲み忘れなく規則的に服用できている｜自覚症状の推移を注視し治療効果を評価する
3179507,チアミン・ニコチン酸アミド配合剤,口内炎や皮膚症状のケアとして処方継続｜用法用量を遵守し問題なく服用中｜症状の治癒状況を確認しつつ処方内容の妥当性を評価する
3179513,高カロリー輸液用総合ビタミン剤,点滴管理におけるビタミン補給として適切に投与中｜配合変化や投与部位の異常は認められない｜全身状態の改善を評価し輸液処方の見直しを検討する
3179514,高カロリー輸液用総合ビタミン剤,中心静脈栄養管理におけるビタミン補給状況を確認。｜欠乏症予防の必要性を説明し、継続的な摂取を推奨。｜投与後の臨床検査値推移を確認し、栄養状態の改善を評価。
3179515,高カロリー輸液用総合ビタミン剤,輸液組成に応じた必要量を算出し、過不足のない投与を確認。｜電解質バランスへの影響を考慮し、経過観察を実施。｜処方意図に基づき、投与経路および速度の適切性を評価。
3179517,高カロリー輸液用総合ビタミン剤,バイタルサインの変動を確認し、全身状態の安定性を評価。｜長期投与における副作用発現の有無をモニタリング。｜臨床検査データに基づき、ビタミン補充の必要性を再評価。
3190001,ビオチン,皮膚症状および発疹の有無を確認。｜自己判断での減量・中止がないようアドバイスし、服薬遵守状況を評価。｜効果発現まで一定期間を要することを説明し、継続服用をフォロー。
3190400,ビオチン,服用後の症状変化を聴取し、治療効果を確認。｜副作用の兆候について説明し、異常時の早期連絡を指導。｜生活習慣への配慮事項を伝え、治療継続の重要性を評価。
3211001,乳酸カルシウム水和物,用法通り食後服用を確認。消化器症状等の副作用発現なし｜服用継続による血清カルシウム値の推移を確認する方針｜飲み忘れ等の残薬なく、安定して継続できていると判断
3213001,グルコン酸カルシウム水和物,服用後の胃腸症状の訴えなし。継続による服薬コンプライアンスは良好｜食事内容と併せてバランスを確認。次回血液検査結果の推移を注視する｜服用間隔の遵守を確認。現状の用法で治療目標に向け経過観察とする
3213400,グルコン酸カルシウム水和物,服用後の体調変化なく経過順調。自己判断による中断の懸念なし｜他剤との相互作用に留意し、服用状況を引き続き確認する｜服薬継続の重要性を再確認。残薬調整を行い服薬管理を徹底する
3214001,Ｌ－アスパラギン酸カルシウム水和物,用法を守り安定した服用状態。新たな自覚症状の発現は認められず｜定期検査値の推移を確認し、投与量の適正化を判断する｜服薬に対する理解は良好。継続的な経過観察が必要と判断
3215001,塩化カルシウム水和物,胃部不快感などの副作用症状なく、服用継続できている｜カルシウム摂取状況を確認しつつ、次回の血液検査結果を待機する｜服薬状況に問題なし。今後の長期服用に向けた有害事象の有無を継続観察する
3215400,塩化カルシウム水和物,消化器症状の出現がないか確認｜服薬後の胃部不快感の有無を継続観察｜投与による副作用症状の兆候は見られない
3219001,リン酸水素カルシウム水和物,便秘や食欲不振の有無を聴取｜カルシウム製剤による消化管への影響は認められない｜症状の安定を確認し継続服用とする
3219100,沈降炭酸カルシウム・コレカルシフェロール・炭酸マグネシウム,高カルシウム血症の兆候を継続モニタリング｜服用後の腹部症状に変化はない｜自覚症状の訴えはなくコンプライアンス良好
3221001,ヨウ化カリウム,皮疹や発熱等の過敏症状がないか経過観察｜味覚異常の有無を患者と共に確認｜甲状腺関連の自覚症状の変化は見られない
3221002,ヨウ化カリウム,長期服用による副作用の兆候を注視｜甲状腺機能への影響を含め症状安定を確認｜ヨウ素過剰摂取による不調の訴えはない
3221004,ヨウ素レシチン,甲状腺機能への影響がないか経過観察を行う｜過敏症状や皮膚症状の出現がないか確認する｜長期投与時の副作用発現の有無を継続的にモニタリングする
3222007,硫酸鉄水和物,消化器症状の有無を聴取し忍容性を確認する｜便色の変化について説明済みであり便秘や下痢の有無を注視する｜鉄剤特有の副作用が軽微であり継続服用が可能と判断する
3222010,フマル酸第一鉄,胃部不快感や吐き気等の消化器症状の発現状況を確認する｜便の着色について理解を得ており継続的な服薬指導を行う｜副作用による服薬中断の懸念がないか観察を継続する
3222012,溶性ピロリン酸第二鉄,自覚的な副作用の訴えはなく服用は順調と判断する｜消化器系の愁訴の有無を定期的に確認し服薬アドヒアランスを評価する｜便色の変化に対する不安がないかフォローアップを行う
3222013,クエン酸第一鉄ナトリウム,胃腸障害の発生状況を確認し服用方法の調整を検討する｜服薬継続により副作用の軽減が見られ症状は安定している｜消化器症状の訴えがないため現在の用法用量を継続する
3222400,含糖酸化鉄,便の色変化の有無を確認済み｜胃部不快感等の副作用発現なし｜鉄剤服用による便秘等の訴えなし
3222404,カルボキシマルトース第二鉄,静注後の過敏症兆候なし｜投与部位の疼痛や腫脹なし｜貧血症状の改善傾向を確認済み
3222405,デルイソマルトース第二鉄,静注投与後の体調変化なし｜アレルギー反応等の特記事項なし｜検査数値の推移と服薬状況を照合済み
3229001,塩化カリウム,服薬後の腹部膨満感や下痢なし｜腎機能低下に伴う血中カリウム値への影響を注視｜残薬調整を行い服薬遵守を確認済み
3229002,塩化カリウム,味覚異常や胃腸障害の発現なし｜定期的な血清カリウム値測定の重要性を指導済み｜他剤との相互作用の影響は認められない
3229003,酢酸カリウム,カリウム製剤のため血清カリウム値のモニタリングを継続する。｜高カリウム血症の兆候である不整脈や痺れ等の症状がないか確認済み。｜定期的な血液検査の結果を確認し、電解質バランスに異常がないか注視する。
3229005,Ｌ－アスパラギン酸カリウム,カリウム補充により体調が安定していることを確認。｜消化器症状等の副作用発現がないか継続して経過観察を行う。｜血清電解質値を考慮し、適切な投与量が維持されていると判断する。
3229007,グルコン酸カリウム,血清カリウム値の変動に留意しつつ服薬を継続してもらう。｜他のカリウム含有製剤との併用による過剰摂取リスクを否定できないため注意を払う。｜電解質値が安定しており、本剤の服用による有害事象は認められない。
3229008,ヒスチジン亜鉛水和物,亜鉛欠乏症の改善目的として服薬状況を確認し良好。｜長期服用に伴う銅欠乏症のリスクを考慮し、定期的な血液検査の結果をフォローする。｜胃部不快感等の副作用発現がないことを確認し、継続投与が妥当と判断する。
3229100,ナトリウム・カリウム・マグネシウム配合剤,多成分配合剤のため、各電解質の変動状況を確認しながら経過観察を行う。｜食事摂取状況と併せて電解質バランスの安定性を評価する。｜血清カリウム値等の検査データを確認し、副作用の兆候がないことを判断する。
3229101,ナトリウム・カリウム・マグネシウム配合剤,消化器症状の有無を確認し継続状況を観察する｜電解質補給の必要性を評価し残薬を調整する｜便通異常がないか聴取し服用継続の判断を行う
3229102,アスパラギン酸カリウム・マグネシウム,服用後の体調変化を確認し副作用がないか経過観察する｜継続服用による電解質の推移と自覚症状の整合性を評価する｜服薬状況を確認し症状の改善傾向を継続観察する
3229103,リン酸二水素ナトリウム一水和物・無水リン酸水素二ナトリウム,排便状況の変化を確認し用法通りの使用ができているか評価する｜副作用の出現がないか聴取し次回の使用継続を検討する｜残薬を確認し指示通りに使用されているか経過観察する
3229400,塩化カリウム,消化管障害の有無を確認し服用状況を評価する｜血清カリウム値の推移を考慮し服用継続の判断を行う｜服薬による胃部不快感がないか聴取し経過観察する
3229401,Ｌ－アスパラギン酸カリウム,服用継続による自覚症状の変化を評価する｜副作用の兆候がないか確認し服薬状況を継続観察する｜電解質補給の必要性を判断し服薬コンプライアンスを確認する
3229402,亜セレン酸ナトリウム,微量元素補給のため継続処方の意義を説明した｜血中セレン値の推移に留意し経過観察する｜長期服用に伴う副作用発現の有無を確認した
3229500,アスパラギン酸カリウム・マグネシウム,電解質異常の兆候がないか自覚症状を確認した｜低カリウム・マグネシウム血症改善目的で継続服用を推奨した｜定期的な血液検査結果にて補正状況を確認する方針とした
3229501,塩化マンガン・硫酸亜鉛水和物配合剤,高カロリー輸液の微量元素として必要性を確認した｜投与後の体調変化に特段の異常は見られない｜長期投与に伴う過剰蓄積リスクについてモニタリングを継続する
3229502,塩化第二鉄・硫酸亜鉛水和物配合剤,鉄・亜鉛欠乏改善のため用法通りの服用を再確認した｜血液検査値の推移を注視し治療効果を評価する｜投与中の副作用兆候はなく服薬継続可能と判断した
3231001,ブドウ糖,低血糖予防のためのブドウ糖補給について説明した｜血糖値の変動に留意し経過観察を行う｜服用後の口渇や多飲などの随伴症状を確認した
3231400,ブドウ糖,低血糖症状の有無を確認し経過観察｜ブドウ糖摂取後の体調変化について情報収集｜指示通りの服用を確認し血糖値の変動を追跡
3231401,ブドウ糖,必要時の服用方法を再確認しアドヒアランスを評価｜服用後の自覚症状に変化がないか経過観察｜低血糖時の使用ルールを本人と再確認
3232001,果糖,果糖の摂取状況と体調への影響を確認｜消化器症状等の副作用が出現していないか経過観察｜栄養補給の補助として適切に使用できているか確認
3232400,果糖,服用後の血糖値への影響を継続的にモニタリング｜体調の変化や副作用の発現がないか聴取｜指示通りの摂取により安定した状態を確認
3233400,マルトース水和物,マルトースによる代謝への影響を注視｜服用前後の全身状態の変化について継続的に経過観察｜適切に服用されており体調は安定していると判断
3234400,キシリトール,口腔ケア目的の摂取状況を確認｜過剰摂取による腹部膨満感の有無を観察｜継続的な使用による口腔環境の変化をフォロー
3239501,Ｄ－ソルビトール・Ｄ－マンニトール,浸透圧性下痢の発生頻度を確認｜消化器症状の有無を定期的にモニタリング｜摂取量と排便状況の関連性を経過観察
3239502,高カロリー輸液用基本液,投与部位の皮膚症状を確認｜代謝異常の徴候がないか検査データを確認｜輸液管理の遵守状況をフォロー
3239503,高カロリー輸液用基本液,血糖変動の推移を定期的にチェック｜投与速度およびルートの管理状況を確認｜感染症の兆候の有無を継続的に評価
3239507,高カロリー輸液用基本液,電解質バランスの推移を検査値で確認｜投与に伴う合併症の有無をスクリーニング｜栄養状態の推移を臨床検査値に基づき判断
3239515,高カロリー輸液用基本液,投与部位の発赤や疼痛の有無を確認｜輸液ラインの閉塞や漏れがないことを確認｜血液検査データと併せて栄養状態を評価
3239516,高カロリー輸液用基本液,刺入部の感染兆候の有無を確認｜投与速度が指示通りか継続観察｜電解質バランスの変動をモニタリング
3239527,高カロリー輸液用基本液,長期投与に伴う代謝異常の兆候を監視｜血糖値の変動に留意し経過観察｜排便状況と消化器症状の有無を確認
3253001,総合アミノ酸製剤,血中尿素窒素の上昇の有無を評価｜アミノ酸補給による体調変化を観察｜肝腎機能への影響を定期的に確認
3253002,総合アミノ酸製剤,投与後の全身状態の安定を確認｜水分バランスおよび浮腫の有無を観察｜補給量と臨床検査値の推移を評価
3253003,イソロイシン・ロイシン・バリン,BCAA製剤として肝性脳症の改善効果を確認｜食欲不振や倦怠感の変動について経過観察を行う｜長期的な血清アルブミン値の推移を注視する
3253401,高カロリー輸液用総合アミノ酸製剤,高カロリー輸液による栄養状態の改善を評価｜投与に伴う高血糖リスクを定期的に確認｜輸液管理下の電解質バランスの安定を確認
3253403,高カロリー輸液用総合アミノ酸製剤,中心静脈栄養による栄養補給の妥当性を評価｜投与部位の感染徴候や炎症反応がないことを確認｜代謝異常のリスクを考慮し検査値をモニタリングする
